ts;vOutsideTemp;vSupplyTemp;vReturnTemp;
06.04.2021 01:00:00;-1.5;52.0;46.5;
06.04.2021 02:00:00;-1.8;54.2;46.3;
06.04.2021 03:00:00;-2.0;55.8;47.4;
06.04.2021 04:00:00;-2.1;55.6;47.7;
06.04.2021 05:00:00;-2.2;55.1;47.7;
06.04.2021 06:00:00;-2.5;64.8;53.5;
06.04.2021 07:00:00;-2.0;59.9;52.1;
06.04.2021 08:00:00;1.0;58.9;50.2;
06.04.2021 09:00:00;0.6;58.5;49.3;
06.04.2021 10:00:00;1.2;52.2;44.5;
06.04.2021 11:00:00;2.4;53.4;51.4;
06.04.2021 12:00:00;1.9;53.1;52.7;
06.04.2021 13:00:00;0.8;54.5;40.8;
06.04.2021 14:00:00;1.6;54.8;50.5;
06.04.2021 15:00:00;2.7;57.5;52.8;
06.04.2021 16:00:00;4.1;55.3;49.5;
06.04.2021 17:00:00;3.9;55.6;49.9;
06.04.2021 18:00:00;3.0;54.0;46.4;
06.04.2021 19:00:00;2.9;54.2;47.4;
06.04.2021 20:00:00;1.5;57.2;49.7;
06.04.2021 21:00:00;1.2;58.7;49.7;
06.04.2021 22:00:00;0.2;59.5;52.0;
06.04.2021 23:00:00;0.1;56.5;46.9;
07.04.2021 00:00:00;-0.4;55.6;47.1;
07.04.2021 01:00:00;-0.3;55.5;43.8;
07.04.2021 02:00:00;0.0;52.1;44.5;
07.04.2021 03:00:00;0.0;52.2;44.9;
07.04.2021 04:00:00;0.8;49.9;42.9;
07.04.2021 05:00:00;0.9;50.4;45.5;
07.04.2021 06:00:00;1.0;60.5;49.7;
07.04.2021 07:00:00;1.0;58.3;49.3;
07.04.2021 08:00:00;1.6;57.3;44.6;
07.04.2021 09:00:00;4.9;51.8;51.1;
07.04.2021 10:00:00;3.5;53.5;51.3;
07.04.2021 11:00:00;3.7;48.1;40.5;
07.04.2021 12:00:00;4.4;50.7;49.9;
07.04.2021 13:00:00;5.1;51.1;51.5;
07.04.2021 14:00:00;5.5;50.7;50.1;
07.04.2021 15:00:00;6.3;50.6;39.5;
07.04.2021 16:00:00;7.0;53.5;52.9;
07.04.2021 17:00:00;6.3;58.2;48.9;
07.04.2021 18:00:00;5.4;50.3;41.0;
07.04.2021 19:00:00;4.2;52.7;46.1;
07.04.2021 20:00:00;4.1;53.3;44.0;
07.04.2021 21:00:00;3.7;52.4;43.6;
07.04.2021 22:00:00;3.6;53.9;43.5;
07.04.2021 23:00:00;2.1;54.3;51.0;
08.04.2021 00:00:00;1.8;52.5;42.4;
08.04.2021 01:00:00;2.1;51.4;43.4;
08.04.2021 02:00:00;2.2;49.5;40.9;
08.04.2021 03:00:00;2.3;48.5;42.2;
08.04.2021 04:00:00;2.2;48.9;42.9;
08.04.2021 05:00:00;2.0;49.3;42.1;
08.04.2021 06:00:00;1.2;57.2;47.1;
08.04.2021 07:00:00;1.4;58.7;49.0;
08.04.2021 08:00:00;3.8;55.6;51.0;
08.04.2021 09:00:00;4.8;57.8;51.0;
08.04.2021 10:00:00;5.0;54.3;47.4;
08.04.2021 11:00:00;5.3;46.2;39.6;
08.04.2021 12:00:00;6.3;45.5;39.4;
08.04.2021 13:00:00;6.0;46.3;40.6;
08.04.2021 14:00:00;6.7;54.7;47.2;
08.04.2021 15:00:00;6.6;55.0;48.7;
08.04.2021 16:00:00;6.1;54.6;50.2;
08.04.2021 17:00:00;6.9;53.9;46.8;
08.04.2021 18:00:00;6.8;48.0;46.6;
08.04.2021 19:00:00;6.1;54.4;50.1;
08.04.2021 20:00:00;4.0;54.8;49.8;
08.04.2021 21:00:00;2.9;55.4;48.8;
08.04.2021 22:00:00;1.5;57.4;46.8;
08.04.2021 23:00:00;1.4;52.1;45.2;
09.04.2021 00:00:00;1.0;52.0;46.5;
09.04.2021 01:00:00;0.3;53.2;45.8;
09.04.2021 02:00:00;-0.3;52.4;45.0;
09.04.2021 03:00:00;0.1;52.2;44.7;
